Number,Category,Manufacturer,Series,Color,Size,Flat RCCP,Texture RCCP
70,Tile,Bedrosians,Matrix,Classic Tan  ,12x24,"559, 560",252
71,Tile,Bedrosians,Metro Plus,Country Beige  ,12x12,586,309
72,Tile,Bedrosians,Metro Plus,Long Island Sky ,12x12,585,308
73,Tile,Bedrosians,Metro Plus,Manhatten Mist  ,12x12,584,307
74,Tile,Bedrosians,Metro Plus,Stealth Jet  ,12x12,583,306
75,Tile,Bedrosians,Metro Plus Listello,Coco Rum-City Slicker ,12x24,"485, 486",235
76,Tile,Bedrosians,Metro Plus Listello,Stealth Jet-Manhattan Mist ,12x24,"481, 482",233
77,Tile,Bedrosians,Officine,Dark   ,12x24,"487, 488",236
78,Tile,Bedrosians,Officine,Gothic   ,12x24,"489, 490",237
79,Tile,Bedrosians,Officine,Romantic   ,12x24,"483, 484",234
80,Tile,Bedrosians,Officine 2x2 Mosaic,Acid   ,12x12,-,-
81,Tile,Bedrosians,Officine 2x2 Mosaic,Dark   ,12x12,438,197
82,Tile,Bedrosians,Officine 2x2 Mosaic,Gothic   ,12x12,437,196
83,Tile,Bedrosians,Officine 2x2 Mosaic,Romantic   ,12x12,436,195
84,Tile,Bedrosians,Palazzo,Antique Cotto  ,12x12,-,-
85,Tile,Bedrosians,Palazzo,Castle Graphite  ,12x12,-,-
86,Tile,Bedrosians,Palazzo,Vitange Grey  ,12x12,-,-
87,Tile,Bedrosians,Palazzo Bloom Deco,Antique Cotto  ,12X12,465,217
88,Tile,Bedrosians,Palazzo Bloom Deco,Castle Graphite  ,12X12,464,217
89,Tile,Bedrosians,Palazzo Bloom Deco,Vintage Grey  ,12X12,466,217
90,Tile,Bedrosians,Palazzo Dynasty Deco,Antique Cotto  ,12X12,463,216
91,Tile,Bedrosians,Palazzo Dynasty Deco,Castle Graphite  ,12X12,462,216
92,Tile,Bedrosians,Palazzo Dynasty Deco,Vintage Grey  ,12X12,461,216
93,Tile,Bedrosians,Palazzo Florentina Deco,Antique Cotto  ,12X12,459,215
94,Tile,Bedrosians,Palazzo Florentina Deco,Castle Graphite  ,12X12,458,215
95,Tile,Bedrosians,Palazzo Florentina Deco,Vintage Grey  ,12X12,460,215
96,Tile,Bedrosians,Palazzo Villa Deco,Antique Cotto  ,12X12,455,214
